,Unnamed: 0,Total Regions,Total Regions from lower,Total Regions from upper,North East,North East from lower,North East from upper,North West,North West from lower,North West from upper,Yorkshire and The Humber,Yorkshire and The Humber from lower,Yorkshire and The Humber from upper,East Midlands,East Midlands from lower,East Midlands from upper,West Midlands,West Midlands from lower,West Midlands from upper,East of England,East of England from lower,East of England from upper,London,London from lower,London from upper,South East,South East from lower,South East from upper,South West,South West from lower,South West from upper,Wales,Wales from lower,Wales from upper,Scotland,Scotland from lower,Scotland from upper
48,0107 Edinburgh Napier University Estimated Incoming Infection,10.206,2.4815000000000005,19.9835,0.2835,0.1215,0.5535,0.384,0.272,0.528,0.15600000000000006,0.084,0.252,0.0455,0.021,0.0805,0.0315,0.014000000000000002,0.063,0.036000000000000004,0.02,0.064,0.115,0.075,0.165,0.05,0.03,0.08,0.0245,0.014000000000000002,0.0455,0.07,0.028000000000000004,0.132,9.01,1.8020000000000005,18.02
49,0167 The University of Edinburgh Estimated Incoming Infection,27.1015,12.2275,46.81700000000001,0.987,0.423,1.927,4.6080000000000005,3.264,6.336,2.0540000000000003,1.1059999999999999,3.318,0.5589999999999999,0.258,0.989,0.315,0.14,0.63,0.711,0.395,1.264,4.5425,2.9625,6.5175,1.605,0.963,2.568,0.5775000000000001,0.33,1.0725,0.7875,0.3150000000000001,1.485,10.355,2.071,20.71
50,0118 The University of Essex Estimated Incoming Infection,15.772999999999998,9.623,24.688000000000002,0.105,0.045,0.205,0.768,0.544,1.056,0.364,0.196,0.588,0.325,0.15,0.575,0.234,0.104,0.468,3.8025,2.1125,6.76,8.3835,5.4675,12.0285,1.285,0.7709999999999999,2.056,0.2135,0.122,0.3965,0.2625,0.10500000000000002,0.495,0.03,0.006,0.06
51,0119 The University of Exeter Estimated Incoming Infection,22.5735,12.882,37.5545,0.147,0.063,0.287,1.8,1.275,2.475,0.6759999999999999,0.3640000000000001,1.092,0.6305000000000001,0.29100000000000004,1.1155000000000002,0.9135,0.406,1.827,1.386,0.77,2.464,5.3820000000000014,3.51,7.722,4.485,2.6910000000000003,7.176,4.011,2.2920000000000003,7.449,2.9575,1.183,5.577000000000001,0.185,0.037000000000000005,0.37
52,0017 Falmouth University Estimated Incoming Infection,6.817000000000001,3.9515,11.3,0.084,0.036000000000000004,0.16399999999999998,0.912,0.6460000000000001,1.254,0.3120000000000001,0.168,0.504,0.28600000000000003,0.132,0.506,0.3555,0.158,0.711,0.4095,0.2275,0.728,1.403,0.915,2.013,1.065,0.639,1.704,1.4,0.8,2.6,0.56,0.22400000000000006,1.056,0.03,0.006,0.06
53,0229 The National Film and Television School Estimated Incoming Infection,0.3150000000000001,0.195,0.4785,0.0,0.0,0.0,0.024,0.017,0.033,0.013,0.007000000000000001,0.021,0.013,0.006,0.023000000000000003,0.009000000000000001,0.004,0.018000000000000002,0.013499999999999998,0.0075,0.024,0.1955,0.1275,0.2805,0.035,0.021,0.056000000000000015,0.007000000000000001,0.004,0.013,0.0,0.0,0.0,0.005,0.001,0.01
54,0106 Glasgow Caledonian University Estimated Incoming Infection,14.7615,3.333,29.104,0.042,0.018000000000000002,0.08199999999999999,0.28800000000000003,0.204,0.396,0.091,0.049,0.147,0.026,0.012,0.046000000000000006,0.0225,0.01,0.045,0.0405,0.0225,0.07200000000000001,0.2645,0.1725,0.3795,0.07,0.042,0.11200000000000003,0.0245,0.014000000000000002,0.0455,0.0525,0.021,0.099,13.84,2.768,27.68
55,0097 Glasgow School of Art Estimated Incoming Infection,1.9625,0.8170000000000002,3.4595,0.063,0.027,0.12299999999999997,0.312,0.221,0.429,0.13,0.07,0.21,0.0325,0.015,0.0575,0.018000000000000002,0.008,0.036000000000000004,0.0405,0.0225,0.07200000000000001,0.2875,0.1875,0.4125,0.07,0.042,0.11200000000000003,0.0315,0.018000000000000002,0.0585,0.0525,0.021,0.099,0.925,0.185,1.85
56,0168 The University of Glasgow Estimated Incoming Infection,24.0535,7.828000000000001,44.832,0.735,0.315,1.435,3.0,2.1250000000000004,4.125,0.858,0.462,1.386,0.182,0.084,0.322,0.14400000000000002,0.064,0.28800000000000003,0.2565,0.1425,0.456,1.2305,0.8025,1.7655,0.455,0.273,0.728,0.15750000000000006,0.09,0.2925,0.31499999999999995,0.126,0.5940000000000001,16.72,3.3440000000000003,33.44
57,0054 University of Gloucestershire Estimated Incoming Infection,8.668,4.583500000000001,15.445,0.063,0.027,0.12299999999999997,0.6,0.425,0.825,0.247,0.133,0.399,0.325,0.15,0.575,0.873,0.3880000000000001,1.746,0.3195,0.1775,0.5680000000000001,0.552,0.36,0.792,0.805,0.483,1.288,2.8560000000000003,1.632,5.3039999999999985,2.0125,0.8050000000000002,3.795,0.015,0.003,0.03
