,MSOA Code,All Ages,geography code,num_students,student_prop
359,E02002845,10862,E02002845,773,0.07116553120972197
360,E02002846,7153,E02002846,373,0.05214595274709912
361,E02002847,10009,E02002847,1065,0.1064042361874313
362,E02002848,11276,E02002848,1804,0.15998581057112451
363,E02002849,14738,E02002849,3173,0.21529379834441578
364,E02002851,8318,E02002851,515,0.06191392161577302
365,E02002852,7007,E02002852,476,0.06793206793206794
366,E02002853,13220,E02002853,2193,0.16588502269288957
367,E02002854,8267,E02002854,633,0.07656949316559816
368,E02002855,8079,E02002855,802,0.09926971159797005
369,E02002856,11791,E02002856,3050,0.2586718683741837
370,E02002857,6613,E02002857,453,0.06850143656434296
371,E02002858,7031,E02002858,655,0.09315886787085763
372,E02002860,7892,E02002860,385,0.048783578307146476
373,E02002861,7547,E02002861,591,0.07830926195839406
374,E02002862,8030,E02002862,438,0.05454545454545454
375,E02006815,10593,E02006815,537,0.05069385443217219
376,E02006817,8828,E02006817,1494,0.16923425464431355
377,E02006819,8103,E02006819,476,0.058743675182031344
378,E02006850,13603,E02006850,5939,0.4365948687789458
379,E02006851,11575,E02006851,3115,0.2691144708423326
380,E02002863,7830,E02002863,275,0.0351213282247765
381,E02002864,8011,E02002864,217,0.027087754337785545
382,E02002865,7875,E02002865,515,0.0653968253968254
383,E02002866,7634,E02002866,314,0.04113177888394027
384,E02002867,8577,E02002867,810,0.0944386149003148
385,E02002868,5744,E02002868,278,0.0483983286908078
386,E02002869,7526,E02002869,350,0.04650544778102578
387,E02002871,7723,E02002871,377,0.04881522724329924
388,E02002872,8790,E02002872,457,0.05199089874857793
389,E02002873,9513,E02002873,513,0.05392620624408704
390,E02002874,8238,E02002874,460,0.05583879582422918
391,E02002875,8603,E02002875,423,0.04916889457166105
392,E02002876,8176,E02002876,638,0.07803326810176126
393,E02002877,7730,E02002877,362,0.04683053040103493
394,E02002878,9723,E02002878,582,0.059858068497377355
395,E02002879,9741,E02002879,736,0.07555692434041679
396,E02002880,9058,E02002880,557,0.06149260322366969
397,E02002881,6863,E02002881,315,0.04589829520617806
398,E02002882,8589,E02002882,901,0.10490161834905111
399,E02002883,7951,E02002883,504,0.06338825304993083
400,E02002884,6968,E02002884,773,0.11093570608495981
401,E02002885,9200,E02002885,1414,0.15369565217391304
402,E02002886,9769,E02002886,725,0.07421435152011464
403,E02002887,6583,E02002887,366,0.0555977517849005
404,E02002888,7577,E02002888,484,0.0638775240860499
405,E02002889,13020,E02002889,4729,0.36321044546851
406,E02002890,13912,E02002890,4754,0.3417193789534215
407,E02002891,8190,E02002891,533,0.06507936507936508
408,E02002892,6074,E02002892,373,0.061409285479091205
409,E02002893,16101,E02002893,6384,0.3964971119806223
410,E02002894,7034,E02002894,520,0.07392664202445266
411,E02002895,8438,E02002895,3707,0.4393221142450818
412,E02002896,10663,E02002896,737,0.06911750914376817
413,E02002897,8173,E02002897,483,0.05909702679554631
414,E02002898,10914,E02002898,6822,0.6250687190764156
415,E02002899,11019,E02002899,5930,0.5381613576549596
416,E02002901,6167,E02002901,273,0.04426787741203178
417,E02002902,9266,E02002902,1159,0.12508094107489748
418,E02002903,6232,E02002903,327,0.052471116816431324
419,E02002904,6035,E02002904,307,0.050869925434962715
420,E02006834,7543,E02006834,379,0.0502452605064298
421,E02006904,12272,E02006904,1994,0.16248370273794002
422,E02006905,7782,E02006905,1057,0.13582626574145465
423,E02002905,6464,E02002905,194,0.03001237623762376
424,E02002906,6105,E02002906,223,0.03652743652743653
425,E02002907,6296,E02002907,239,0.03796060991105464
426,E02002908,8929,E02002908,345,0.038638145369022284
427,E02002909,10768,E02002909,429,0.039840267459138184
428,E02002910,8227,E02002910,247,0.03002309468822171
429,E02002911,9610,E02002911,416,0.04328824141519251
430,E02002912,7671,E02002912,304,0.03962977447529657
431,E02002913,5828,E02002913,209,0.035861358956760465
432,E02002914,9294,E02002914,311,0.033462448891758124
433,E02002915,7750,E02002915,359,0.04632258064516129
434,E02002916,10068,E02002916,649,0.0644616607071911
435,E02002917,7174,E02002917,316,0.044047950933928076
436,E02002918,5991,E02002918,311,0.05191120013353363
437,E02002919,9779,E02002919,388,0.03967685857449637
438,E02002920,6779,E02002920,299,0.04410680041304027
439,E02002921,8270,E02002921,332,0.040145102781136636
440,E02002922,6860,E02002922,278,0.040524781341107874
441,E02002923,10054,E02002923,364,0.03620449572309529
442,E02002924,6246,E02002924,246,0.0393852065321806
443,E02002925,11269,E02002925,473,0.04197355577247316
444,E02002926,11309,E02002926,428,0.03784596339198868
445,E02002927,12060,E02002927,431,0.0357379767827529
446,E02002928,5982,E02002928,612,0.10230692076228685
447,E02002929,6358,E02002929,1057,0.16624724756212644
448,E02002930,6372,E02002930,617,0.09682988072818581
449,E02002931,6762,E02002931,321,0.047471162377994675
450,E02002932,9219,E02002932,390,0.04230393752033843
451,E02002933,7870,E02002933,410,0.052096569250317665
452,E02002934,6028,E02002934,309,0.05126078301260783
453,E02002935,6534,E02002935,292,0.044689317416590144
454,E02002936,10465,E02002936,441,0.042140468227424746
455,E02002937,10060,E02002937,412,0.04095427435387674
456,E02002938,7237,E02002938,376,0.051955230067707615
457,E02002939,6964,E02002939,284,0.040781160252728314
458,E02002940,5856,E02002940,283,0.048326502732240435
459,E02002941,10484,E02002941,397,0.03786722624952308
460,E02002942,7353,E02002942,369,0.05018359853121175
461,E02002943,14858,E02002943,469,0.03156548660654193
462,E02002944,8214,E02002944,382,0.046505965424884346
463,E02002945,9690,E02002945,481,0.04963880288957688
464,E02002946,7692,E02002946,366,0.04758190327613104
465,E02002947,7163,E02002947,333,0.046488901298338686
466,E02002948,7560,E02002948,378,0.05
467,E02002949,5365,E02002949,223,0.04156570363466915
468,E02002950,5768,E02002950,228,0.03952843273231623
469,E02002951,7615,E02002951,345,0.04530531845042679
470,E02002952,7495,E02002952,295,0.03935957304869913
471,E02002953,7373,E02002953,364,0.049369320493693206
472,E02002954,8193,E02002954,350,0.042719394605150736
473,E02002955,7701,E02002955,382,0.049603947539280616
474,E02002956,9251,E02002956,510,0.055129175224300074
475,E02002957,9566,E02002957,421,0.04401003554254652
476,E02002958,8240,E02002958,367,0.04453883495145631
477,E02002959,9433,E02002959,498,0.05279338492526238
478,E02002960,5766,E02002960,332,0.05757891085674644
479,E02002961,7016,E02002961,427,0.06086088939566705
480,E02002962,7273,E02002962,362,0.04977313350749347
481,E02002963,7247,E02002963,406,0.056023182006347455
482,E02002964,8494,E02002964,369,0.043442429950553335
483,E02002965,8469,E02002965,1080,0.1275239107332625
484,E02002966,10120,E02002966,3153,0.31156126482213437
485,E02002967,10339,E02002967,434,0.04197698036560596
486,E02002968,9244,E02002968,808,0.08740804846386846
487,E02002969,9456,E02002969,798,0.08439086294416244
488,E02002970,8143,E02002970,426,0.052314871668918086
489,E02002971,4854,E02002971,251,0.051709929954676555
490,E02002972,6292,E02002972,299,0.047520661157024795
491,E02002973,8390,E02002973,520,0.06197854588796186
492,E02002974,5978,E02002974,234,0.039143526262964204
493,E02002975,7072,E02002975,330,0.04666289592760181
494,E02002976,6016,E02002976,317,0.05269281914893617
495,E02002977,5702,E02002977,246,0.043142756927393895
496,E02002978,6773,E02002978,306,0.04517938874944633
497,E02002979,6017,E02002979,335,0.05567558584011966
498,E02002980,5993,E02002980,240,0.04004672117470382
499,E02002981,8429,E02002981,416,0.04935342270731997
500,E02002982,7975,E02002982,372,0.04664576802507837
501,E02002983,5083,E02002983,283,0.05567578201849301
502,E02002984,5367,E02002984,275,0.05123905347493944
503,E02002985,6409,E02002985,246,0.038383523170541424
504,E02002986,6305,E02002986,199,0.03156225218080888
505,E02002987,5647,E02002987,299,0.05294846821321055
506,E02002988,5697,E02002988,308,0.05406354221520098
507,E02002989,5741,E02002989,320,0.05573941821982233
508,E02002990,6098,E02002990,690,0.11315185306657921
509,E02002991,11318,E02002991,1559,0.137745184661601
510,E02002992,5980,E02002992,554,0.09264214046822743
511,E02002993,6697,E02002993,1161,0.17336120651037779
512,E02002994,10545,E02002994,548,0.051967757230915124
513,E02002995,5782,E02002995,389,0.06727775856105155
514,E02002996,13369,E02002996,4182,0.31281322462413047
515,E02002997,7807,E02002997,2516,0.3222748815165877
516,E02002998,5919,E02002998,1709,0.2887312045953708
517,E02002999,5577,E02002999,429,0.07692307692307693
518,E02003000,9659,E02003000,400,0.04141215446733616
519,E02003001,5561,E02003001,517,0.09296889048732243
520,E02003002,5937,E02003002,492,0.0828701364325417
521,E02003003,6040,E02003003,453,0.075
522,E02003004,6781,E02003004,329,0.04851791771125203
523,E02003005,6502,E02003005,291,0.04475545985850508
524,E02003006,9765,E02003006,790,0.08090117767537122
525,E02003007,9290,E02003007,314,0.03379978471474704
526,E02003008,6151,E02003008,262,0.042594700048772555
527,E02003009,6238,E02003009,273,0.04376402693170888
528,E02003010,6769,E02003010,234,0.03456936031910179
529,E02003011,5698,E02003011,226,0.03966303966303966
530,E02003012,11473,E02003012,453,0.03948400592695895
531,E02003013,11978,E02003013,613,0.051177158123225916
